merchant_id,merchant_name,merchant_category,mcc_code,channel,avg_transaction,risk_level,fraud_weight,settlement_type,city,state,latitude,longitude,accepts_upi,accepts_card,accepts_net_banking,merchant_since,is_active
MER000030,IRCTC Ahmedabad Outlet,Travel,4112,Online,1800,Low,3,T+1,Ahmedabad,Gujarat,23.0225,72.5714,True,True,True,2025-08-08,True
MER000031,Zomato Kochi Point,Food Delivery,5812,Online,500,Low,3,T+1,Kochi,Kerala,9.9312,76.2673,True,True,True,2024-09-01,True
MER000032,BookMyShow Lucknow Hub,Entertainment,7922,Online,700,Low,3,T+1,Lucknow,Uttar Pradesh,26.8467,80.9462,True,True,True,2017-03-17,True
MER000033,Apple App Store Thiruvananthapuram Services,App Store,5815,Online,1200,Medium,8,Instant,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2025-01-23,True
MER000034,Google Play Thiruvananthapuram Mart,App Store,5815,Online,800,Medium,8,Instant,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,False,2024-12-09,True
MER000035,Netflix Delhi Retail,Streaming,4899,Online,649,Low,2,Recurring,Delhi,Delhi,28.6139,77.209,True,False,True,2017-02-03,True
MER000036,Rapido Bengaluru Center,Ride Sharing,4121,Online,180,Low,4,T+1,Bengaluru,Karnataka,12.9716,77.5946,True,True,True,2023-12-30,True
MER000037,DMart Vijayawada Mart,Supermarket,5411,Offline,2200,Low,2,T+1,Vijayawada,Andhra Pradesh,16.5062,80.648,True,False,True,2025-03-16,True
MER000038,Steam Bhubaneswar Point,Gaming,5816,Online,1800,Medium,12,Instant,Bhubaneswar,Odisha,20.2961,85.8245,True,True,False,2016-05-14,True
MER000039,Steam Coimbatore Store,Gaming,5816,Online,1800,Medium,12,Instant,Coimbatore,Tamil Nadu,11.0168,76.9558,True,True,False,2018-07-13,True
MER000040,Croma Mumbai Retail,Electronics,5732,Offline,18000,Medium,15,T+2,Mumbai,Maharashtra,19.076,72.8777,True,True,True,2020-04-10,True
MER000041,Tanishq Visakhapatnam Center,Jewellery,5094,Offline,75000,High,30,T+2,Visakhapatnam,Andhra Pradesh,17.6868,83.2185,True,True,True,2022-02-04,True
MER000042,BookMyShow Lucknow Center,Entertainment,7922,Online,700,Low,3,T+1,Lucknow,Uttar Pradesh,26.8467,80.9462,True,True,True,2017-12-08,True
MER000043,Rapido Pune Outlet,Ride Sharing,4121,Online,180,Low,4,T+1,Pune,Maharashtra,18.5204,73.8567,True,False,False,2015-03-18,True
MER000044,Tanishq Jaipur Retail,Jewellery,5094,Offline,75000,High,30,T+2,Jaipur,Rajasthan,26.9124,75.7873,True,True,True,2022-10-30,True
MER000045,IRCTC Bhopal Center,Travel,4112,Online,1800,Low,3,T+1,Bhopal,Madhya Pradesh,23.2599,77.4126,True,True,True,2021-10-14,True
MER000046,Zomato Kolkata Store,Food Delivery,5812,Online,500,Low,3,T+1,Kolkata,West Bengal,22.5726,88.3639,True,True,False,2017-04-28,True
MER000047,Crypto Exchange Hyderabad Mart,Crypto,6051,Online,50000,Very High,50,Instant,Hyderabad,Telangana,17.385,78.4867,True,True,True,2018-06-27,True
MER000048,PayPal Merchant Delhi Center,International,4829,Online,15000,High,35,Instant,Delhi,Delhi,28.6139,77.209,True,True,True,2020-12-02,True
MER000049,Steam Delhi Outlet,Gaming,5816,Online,1800,Medium,12,Instant,Delhi,Delhi,28.6139,77.209,True,True,True,2024-07-01,True
MER000050,OYO Bengaluru Store,Hotels,7011,Online,3500,Medium,10,T+2,Bengaluru,Karnataka,12.9716,77.5946,True,True,True,2020-11-15,True
MER000051,Apollo Pharmacy Delhi Point,Pharmacy,5912,Offline,900,Low,2,T+1,Delhi,Delhi,28.6139,77.209,True,True,True,2016-09-08,True
MER000052,NGO Donation Pune Mart,Charity,8398,Online,1200,Medium,10,T+1,Pune,Maharashtra,18.5204,73.8567,True,True,True,2018-04-28,True
MER000053,Rolex Boutique Lucknow Store,Luxury,5944,Offline,450000,High,40,T+3,Lucknow,Uttar Pradesh,26.8467,80.9462,True,True,True,2015-11-23,True
MER000054,Indian Oil Vijayawada Center,Fuel,5541,Offline,3000,Medium,8,T+1,Vijayawada,Andhra Pradesh,16.5062,80.648,True,True,True,2024-02-12,True
MER000055,Tanishq Visakhapatnam Mart,Jewellery,5094,Offline,75000,High,30,T+2,Visakhapatnam,Andhra Pradesh,17.6868,83.2185,True,True,True,2018-12-21,True
MER000056,Amazon India Bhubaneswar Store,E-Commerce,5942,Online,2500,Low,5,T+1,Bhubaneswar,Odisha,20.2961,85.8245,True,False,True,2024-03-26,True
MER000057,Uber Vijayawada Center,Ride Sharing,4121,Online,350,Low,4,T+1,Vijayawada,Andhra Pradesh,16.5062,80.648,True,True,True,2015-11-14,True
MER000058,Rolex Boutique Lucknow Center,Luxury,5944,Offline,450000,High,40,T+3,Lucknow,Uttar Pradesh,26.8467,80.9462,True,True,True,2020-02-08,True
MER000059,DMart Coimbatore Center,Supermarket,5411,Offline,2200,Low,2,T+1,Coimbatore,Tamil Nadu,11.0168,76.9558,True,True,True,2021-04-05,True
MER000060,HP Petrol Bengaluru Hub,Fuel,5541,Offline,3200,Medium,8,T+1,Bengaluru,Karnataka,12.9716,77.5946,True,True,True,2015-08-15,True
MER000061,DMart Bengaluru Outlet,Supermarket,5411,Offline,2200,Low,2,T+1,Bengaluru,Karnataka,12.9716,77.5946,True,False,True,2017-06-07,True
MER000062,Uber Thiruvananthapuram Services,Ride Sharing,4121,Online,350,Low,4,T+1,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2026-06-21,True
MER000063,IRCTC Chennai Center,Travel,4112,Online,1800,Low,3,T+1,Chennai,Tamil Nadu,13.0827,80.2707,True,True,True,2019-06-03,True
MER000064,Crypto Exchange Ahmedabad Retail,Crypto,6051,Online,50000,Very High,50,Instant,Ahmedabad,Gujarat,23.0225,72.5714,True,False,True,2017-10-17,True
MER000065,Crypto Exchange Indore Outlet,Crypto,6051,Online,50000,Very High,50,Instant,Indore,Madhya Pradesh,22.7196,75.8577,True,True,True,2021-08-19,True
MER000066,Reliance Fresh Kolkata Center,Grocery,5411,Offline,1200,Low,2,T+1,Kolkata,West Bengal,22.5726,88.3639,True,False,True,2018-11-26,True
MER000067,Indian Oil Mumbai Outlet,Fuel,5541,Offline,3000,Medium,8,T+1,Mumbai,Maharashtra,19.076,72.8777,True,True,True,2019-09-18,True
MER000068,OYO Bengaluru Services,Hotels,7011,Online,3500,Medium,10,T+2,Bengaluru,Karnataka,12.9716,77.5946,True,True,True,2025-08-12,True
MER000069,Indian Oil Chandigarh Mart,Fuel,5541,Offline,3000,Medium,8,T+1,Chandigarh,Chandigarh,30.7333,76.7794,True,True,True,2022-07-08,True
MER000070,Flipkart Delhi Center,E-Commerce,5942,Online,2200,Low,5,T+1,Delhi,Delhi,28.6139,77.209,True,True,True,2015-07-20,True
MER000071,Reliance Fresh Chandigarh Point,Grocery,5411,Offline,1200,Low,2,T+1,Chandigarh,Chandigarh,30.7333,76.7794,True,True,True,2019-05-12,True
MER000072,Flipkart Delhi Hub,E-Commerce,5942,Online,2200,Low,5,T+1,Delhi,Delhi,28.6139,77.209,True,True,True,2015-02-15,True
MER000073,OYO Coimbatore Retail,Hotels,7011,Online,3500,Medium,10,T+2,Coimbatore,Tamil Nadu,11.0168,76.9558,True,True,True,2025-06-02,True
MER000074,Uber Thiruvananthapuram Center,Ride Sharing,4121,Online,350,Low,4,T+1,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2025-06-03,True
MER000075,Amazon India Warangal Services,E-Commerce,5942,Online,2500,Low,5,T+1,Warangal,Telangana,17.9689,79.5941,True,True,True,2026-04-28,True
MER000076,BookMyShow Chennai Point,Entertainment,7922,Online,700,Low,3,T+1,Chennai,Tamil Nadu,13.0827,80.2707,True,True,True,2020-10-24,True
MER000077,Netflix Warangal Outlet,Streaming,4899,Online,649,Low,2,Recurring,Warangal,Telangana,17.9689,79.5941,True,True,True,2021-02-27,True
MER000078,Reliance Fresh Visakhapatnam Outlet,Grocery,5411,Offline,1200,Low,2,T+1,Visakhapatnam,Andhra Pradesh,17.6868,83.2185,True,True,False,2016-10-22,True
MER000079,Reliance Fresh Warangal Center,Grocery,5411,Offline,1200,Low,2,T+1,Warangal,Telangana,17.9689,79.5941,True,True,True,2024-04-21,True
MER000080,Amazon India Kochi Point,E-Commerce,5942,Online,2500,Low,5,T+1,Kochi,Kerala,9.9312,76.2673,True,True,True,2015-06-10,True
MER000081,Spotify Chennai Hub,Streaming,4899,Online,119,Low,2,Recurring,Chennai,Tamil Nadu,13.0827,80.2707,True,False,True,2023-09-30,True
MER000082,HP Petrol Bhubaneswar Hub,Fuel,5541,Offline,3200,Medium,8,T+1,Bhubaneswar,Odisha,20.2961,85.8245,True,True,True,2019-12-12,True
MER000083,Netflix Hyderabad Outlet,Streaming,4899,Online,649,Low,2,Recurring,Hyderabad,Telangana,17.385,78.4867,True,True,True,2024-01-26,True
MER000084,Flipkart Jaipur Point,E-Commerce,5942,Online,2200,Low,5,T+1,Jaipur,Rajasthan,26.9124,75.7873,True,False,True,2023-11-02,True
MER000085,Flipkart Hyderabad Store,E-Commerce,5942,Online,2200,Low,5,T+1,Hyderabad,Telangana,17.385,78.4867,True,True,False,2019-01-28,True
MER000086,Tanishq Kolkata Hub,Jewellery,5094,Offline,75000,High,30,T+2,Kolkata,West Bengal,22.5726,88.3639,True,True,True,2023-07-03,True
MER000087,Apple App Store Jaipur Hub,App Store,5815,Online,1200,Medium,8,Instant,Jaipur,Rajasthan,26.9124,75.7873,True,True,True,2016-03-02,False
MER000088,HP Petrol Indore Services,Fuel,5541,Offline,3200,Medium,8,T+1,Indore,Madhya Pradesh,22.7196,75.8577,True,True,False,2015-11-26,True
MER000089,Flipkart Kolkata Center,E-Commerce,5942,Online,2200,Low,5,T+1,Kolkata,West Bengal,22.5726,88.3639,True,True,True,2017-10-31,True
MER000090,HP Petrol Thiruvananthapuram Retail,Fuel,5541,Offline,3200,Medium,8,T+1,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2023-04-10,True
MER000091,Netflix Jaipur Retail,Streaming,4899,Online,649,Low,2,Recurring,Jaipur,Rajasthan,26.9124,75.7873,True,True,True,2015-07-30,True
MER000092,IRCTC Thiruvananthapuram Hub,Travel,4112,Online,1800,Low,3,T+1,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2020-06-12,True
MER000093,NGO Donation Chandigarh Outlet,Charity,8398,Online,1200,Medium,10,T+1,Chandigarh,Chandigarh,30.7333,76.7794,True,True,True,2015-12-03,True
MER000094,IRCTC Bhopal Hub,Travel,4112,Online,1800,Low,3,T+1,Bhopal,Madhya Pradesh,23.2599,77.4126,True,True,True,2015-04-14,True
MER000095,DMart Hyderabad Point,Supermarket,5411,Offline,2200,Low,2,T+1,Hyderabad,Telangana,17.385,78.4867,True,False,True,2025-04-24,True
MER000096,Bharat Petroleum Delhi Hub,Fuel,5541,Offline,3100,Medium,8,T+1,Delhi,Delhi,28.6139,77.209,True,True,True,2025-11-04,True
MER000097,PayPal Merchant Vijayawada Outlet,International,4829,Online,15000,High,35,Instant,Vijayawada,Andhra Pradesh,16.5062,80.648,True,True,False,2021-04-03,True
MER000098,Netflix Indore Center,Streaming,4899,Online,649,Low,2,Recurring,Indore,Madhya Pradesh,22.7196,75.8577,True,True,True,2022-07-18,True
MER000099,OYO Coimbatore Services,Hotels,7011,Online,3500,Medium,10,T+2,Coimbatore,Tamil Nadu,11.0168,76.9558,True,True,True,2022-08-20,True
MER000100,Rolex Boutique Lucknow Outlet,Luxury,5944,Offline,450000,High,40,T+3,Lucknow,Uttar Pradesh,26.8467,80.9462,True,True,True,2020-05-31,True
MER000101,DMart Kolkata Point,Supermarket,5411,Offline,2200,Low,2,T+1,Kolkata,West Bengal,22.5726,88.3639,True,True,True,2026-01-03,True
MER000102,Amazon India Ahmedabad Store,E-Commerce,5942,Online,2500,Low,5,T+1,Ahmedabad,Gujarat,23.0225,72.5714,True,True,True,2021-11-13,True
MER000103,Air India Chennai Services,Airlines,4511,Online,8500,Medium,10,T+2,Chennai,Tamil Nadu,13.0827,80.2707,True,True,True,2022-06-02,True
MER000104,Apple App Store Pune Point,App Store,5815,Online,1200,Medium,8,Instant,Pune,Maharashtra,18.5204,73.8567,True,True,True,2019-04-27,True
MER000105,Flipkart Bhubaneswar Mart,E-Commerce,5942,Online,2200,Low,5,T+1,Bhubaneswar,Odisha,20.2961,85.8245,True,True,True,2021-05-07,False
MER000106,IRCTC Nagpur Center,Travel,4112,Online,1800,Low,3,T+1,Nagpur,Maharashtra,21.1458,79.0882,True,True,True,2017-11-02,True
MER000107,Reliance Fresh Bhopal Store,Grocery,5411,Offline,1200,Low,2,T+1,Bhopal,Madhya Pradesh,23.2599,77.4126,True,True,True,2026-01-04,True
MER000108,Rapido Bengaluru Store,Ride Sharing,4121,Online,180,Low,4,T+1,Bengaluru,Karnataka,12.9716,77.5946,True,True,True,2019-02-19,True
MER000109,Google Play Nagpur Outlet,App Store,5815,Online,800,Medium,8,Instant,Nagpur,Maharashtra,21.1458,79.0882,True,True,True,2023-12-27,True
MER000110,Rapido Mumbai Store,Ride Sharing,4121,Online,180,Low,4,T+1,Mumbai,Maharashtra,19.076,72.8777,True,True,False,2016-11-28,False
MER000111,Indian Oil Bhopal Retail,Fuel,5541,Offline,3000,Medium,8,T+1,Bhopal,Madhya Pradesh,23.2599,77.4126,True,True,True,2020-01-23,True
MER000112,Swiggy Coimbatore Hub,Food Delivery,5812,Online,450,Low,3,T+1,Coimbatore,Tamil Nadu,11.0168,76.9558,True,True,False,2024-08-13,True
MER000113,Rapido Thiruvananthapuram Store,Ride Sharing,4121,Online,180,Low,4,T+1,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,False,2019-08-30,True
MER000114,BookMyShow Mumbai Outlet,Entertainment,7922,Online,700,Low,3,T+1,Mumbai,Maharashtra,19.076,72.8777,True,True,True,2016-09-06,True
MER000115,NGO Donation Jaipur Hub,Charity,8398,Online,1200,Medium,10,T+1,Jaipur,Rajasthan,26.9124,75.7873,True,True,True,2020-03-11,True
MER000116,Apollo Pharmacy Kolkata Outlet,Pharmacy,5912,Offline,900,Low,2,T+1,Kolkata,West Bengal,22.5726,88.3639,True,True,True,2020-12-07,True
MER000117,BookMyShow Lucknow Center,Entertainment,7922,Online,700,Low,3,T+1,Lucknow,Uttar Pradesh,26.8467,80.9462,True,True,True,2020-12-16,True
MER000118,DMart Lucknow Retail,Supermarket,5411,Offline,2200,Low,2,T+1,Lucknow,Uttar Pradesh,26.8467,80.9462,True,True,True,2021-06-22,True
MER000119,Amazon India Warangal Point,E-Commerce,5942,Online,2500,Low,5,T+1,Warangal,Telangana,17.9689,79.5941,True,True,False,2026-03-23,True
MER000120,Reliance Fresh Nagpur Point,Grocery,5411,Offline,1200,Low,2,T+1,Nagpur,Maharashtra,21.1458,79.0882,True,True,True,2022-03-25,True
MER000121,Bharat Petroleum Nagpur Store,Fuel,5541,Offline,3100,Medium,8,T+1,Nagpur,Maharashtra,21.1458,79.0882,True,False,True,2015-06-19,False
MER000122,Apollo Pharmacy Thiruvananthapuram Outlet,Pharmacy,5912,Offline,900,Low,2,T+1,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2024-12-01,True
MER000123,Google Play Delhi Mart,App Store,5815,Online,800,Medium,8,Instant,Delhi,Delhi,28.6139,77.209,False,True,True,2017-01-17,True
MER000124,Rapido Chandigarh Hub,Ride Sharing,4121,Online,180,Low,4,T+1,Chandigarh,Chandigarh,30.7333,76.7794,True,True,False,2022-05-25,True
MER000125,Swiggy Kochi Point,Food Delivery,5812,Online,450,Low,3,T+1,Kochi,Kerala,9.9312,76.2673,True,False,True,2015-10-28,True
MER000126,Swiggy Coimbatore Services,Food Delivery,5812,Online,450,Low,3,T+1,Coimbatore,Tamil Nadu,11.0168,76.9558,True,True,True,2015-01-10,True
MER000127,Rapido Bengaluru Point,Ride Sharing,4121,Online,180,Low,4,T+1,Bengaluru,Karnataka,12.9716,77.5946,True,True,True,2026-03-07,True
MER000128,Reliance Fresh Visakhapatnam Store,Grocery,5411,Offline,1200,Low,2,T+1,Visakhapatnam,Andhra Pradesh,17.6868,83.2185,True,True,False,2024-10-29,True
MER000129,Apple App Store Hyderabad Point,App Store,5815,Online,1200,Medium,8,Instant,Hyderabad,Telangana,17.385,78.4867,True,False,True,2020-05-14,True
MER000130,Crypto Exchange Pune Outlet,Crypto,6051,Online,50000,Very High,50,Instant,Pune,Maharashtra,18.5204,73.8567,True,True,True,2017-07-18,True
MER000131,Swiggy Coimbatore Retail,Food Delivery,5812,Online,450,Low,3,T+1,Coimbatore,Tamil Nadu,11.0168,76.9558,True,True,False,2021-07-18,True
MER000132,IRCTC Pune Outlet,Travel,4112,Online,1800,Low,3,T+1,Pune,Maharashtra,18.5204,73.8567,True,True,True,2025-03-30,True
MER000133,Apollo Pharmacy Nagpur Hub,Pharmacy,5912,Offline,900,Low,2,T+1,Nagpur,Maharashtra,21.1458,79.0882,True,True,True,2018-01-23,True
MER000134,Amazon India Kochi Outlet,E-Commerce,5942,Online,2500,Low,5,T+1,Kochi,Kerala,9.9312,76.2673,True,True,True,2026-05-22,True
MER000135,Croma Thiruvananthapuram Store,Electronics,5732,Offline,18000,Medium,15,T+2,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2025-12-25,True
MER000136,Air India Indore Point,Airlines,4511,Online,8500,Medium,10,T+2,Indore,Madhya Pradesh,22.7196,75.8577,True,True,True,2023-06-18,True
MER000137,Zomato Indore Services,Food Delivery,5812,Online,500,Low,3,T+1,Indore,Madhya Pradesh,22.7196,75.8577,True,False,True,2023-08-04,True
MER000138,OYO Indore Hub,Hotels,7011,Online,3500,Medium,10,T+2,Indore,Madhya Pradesh,22.7196,75.8577,True,True,True,2023-07-21,True
MER000139,Air India Lucknow Mart,Airlines,4511,Online,8500,Medium,10,T+2,Lucknow,Uttar Pradesh,26.8467,80.9462,True,True,True,2022-06-12,True
MER000140,Air India Chennai Point,Airlines,4511,Online,8500,Medium,10,T+2,Chennai,Tamil Nadu,13.0827,80.2707,True,True,True,2018-03-26,True
MER000141,Amazon India Hyderabad Mart,E-Commerce,5942,Online,2500,Low,5,T+1,Hyderabad,Telangana,17.385,78.4867,True,True,True,2023-12-01,True
MER000142,Apollo Pharmacy Chandigarh Services,Pharmacy,5912,Offline,900,Low,2,T+1,Chandigarh,Chandigarh,30.7333,76.7794,True,True,True,2022-02-07,True
MER000143,Air India Indore Point,Airlines,4511,Online,8500,Medium,10,T+2,Indore,Madhya Pradesh,22.7196,75.8577,True,True,True,2021-06-12,False
MER000144,HP Petrol Coimbatore Retail,Fuel,5541,Offline,3200,Medium,8,T+1,Coimbatore,Tamil Nadu,11.0168,76.9558,True,True,True,2017-04-03,True
MER000145,Indian Oil Kolkata Outlet,Fuel,5541,Offline,3000,Medium,8,T+1,Kolkata,West Bengal,22.5726,88.3639,True,True,True,2021-07-31,True
MER000146,OYO Bhubaneswar Hub,Hotels,7011,Online,3500,Medium,10,T+2,Bhubaneswar,Odisha,20.2961,85.8245,True,True,True,2019-01-15,True
MER000147,Rolex Boutique Bhopal Retail,Luxury,5944,Offline,450000,High,40,T+3,Bhopal,Madhya Pradesh,23.2599,77.4126,True,True,True,2026-02-28,True
MER000148,Jio Recharge Indore Mart,Telecom,4814,Online,399,Low,2,Instant,Indore,Madhya Pradesh,22.7196,75.8577,True,True,True,2015-03-18,True
MER000149,NGO Donation Kochi Point,Charity,8398,Online,1200,Medium,10,T+1,Kochi,Kerala,9.9312,76.2673,True,True,True,2024-11-27,True
MER000150,Croma Ahmedabad Outlet,Electronics,5732,Offline,18000,Medium,15,T+2,Ahmedabad,Gujarat,23.0225,72.5714,True,True,True,2021-10-10,True
MER000151,Swiggy Chandigarh Hub,Food Delivery,5812,Online,450,Low,3,T+1,Chandigarh,Chandigarh,30.7333,76.7794,True,True,True,2023-01-19,True
MER000152,Spotify Thiruvananthapuram Outlet,Streaming,4899,Online,119,Low,2,Recurring,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2015-03-08,True
MER000153,Apple App Store Vijayawada Store,App Store,5815,Online,1200,Medium,8,Instant,Vijayawada,Andhra Pradesh,16.5062,80.648,True,True,True,2021-06-02,True
MER000154,Air India Pune Center,Airlines,4511,Online,8500,Medium,10,T+2,Pune,Maharashtra,18.5204,73.8567,True,True,True,2020-08-15,True
MER000155,OYO Warangal Mart,Hotels,7011,Online,3500,Medium,10,T+2,Warangal,Telangana,17.9689,79.5941,True,True,True,2021-12-05,True
MER000156,Uber Nagpur Store,Ride Sharing,4121,Online,350,Low,4,T+1,Nagpur,Maharashtra,21.1458,79.0882,True,True,True,2021-08-14,True
MER000157,Bharat Petroleum Pune Hub,Fuel,5541,Offline,3100,Medium,8,T+1,Pune,Maharashtra,18.5204,73.8567,True,True,True,2023-03-17,True
MER000158,Crypto Exchange Thiruvananthapuram Outlet,Crypto,6051,Online,50000,Very High,50,Instant,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2025-10-22,True
MER000159,Swiggy Thiruvananthapuram Outlet,Food Delivery,5812,Online,450,Low,3,T+1,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2016-09-08,True
MER000160,IRCTC Nagpur Center,Travel,4112,Online,1800,Low,3,T+1,Nagpur,Maharashtra,21.1458,79.0882,True,True,False,2023-03-16,True
MER000161,Apple App Store Indore Hub,App Store,5815,Online,1200,Medium,8,Instant,Indore,Madhya Pradesh,22.7196,75.8577,True,True,True,2020-11-17,True
MER000162,DMart Delhi Services,Supermarket,5411,Offline,2200,Low,2,T+1,Delhi,Delhi,28.6139,77.209,True,True,True,2022-05-11,True
MER000163,Swiggy Ahmedabad Center,Food Delivery,5812,Online,450,Low,3,T+1,Ahmedabad,Gujarat,23.0225,72.5714,True,True,True,2021-10-11,True
MER000164,Zomato Lucknow Retail,Food Delivery,5812,Online,500,Low,3,T+1,Lucknow,Uttar Pradesh,26.8467,80.9462,True,False,True,2026-01-18,True
MER000165,Bharat Petroleum Pune Center,Fuel,5541,Offline,3100,Medium,8,T+1,Pune,Maharashtra,18.5204,73.8567,True,True,True,2024-05-26,True
MER000166,Rolex Boutique Delhi Mart,Luxury,5944,Offline,450000,High,40,T+3,Delhi,Delhi,28.6139,77.209,True,True,True,2024-02-26,True
MER000167,Swiggy Lucknow Outlet,Food Delivery,5812,Online,450,Low,3,T+1,Lucknow,Uttar Pradesh,26.8467,80.9462,True,True,True,2020-04-18,True
MER000168,Amazon India Hyderabad Retail,E-Commerce,5942,Online,2500,Low,5,T+1,Hyderabad,Telangana,17.385,78.4867,False,True,False,2023-01-17,True
