device_id,customer_id,device_type,os_family,manufacturer,risk_weight,is_mobile,is_rooted,is_emulator,is_trusted,first_seen_date,last_seen_date
DEV00000053,CUST000028,Laptop,macOS,Apple,0.06,False,False,False,True,2020-02-09,2020-02-09
DEV00000054,CUST000029,Laptop,Windows,Lenovo,0.1,False,False,False,True,2024-10-26,2024-10-26
DEV00000055,CUST000030,Laptop,Windows,Asus,0.12,False,False,False,True,2021-02-25,2021-02-25
DEV00000056,CUST000030,Mobile,Android,OnePlus,0.15,True,False,False,True,2021-09-25,2021-09-25
DEV00000057,CUST000030,Mobile,iOS,Apple,0.05,True,False,False,True,2021-12-26,2021-12-26
DEV00000058,CUST000031,Tablet,Android,Lenovo,0.18,True,False,False,True,2022-12-28,2022-12-28
DEV00000059,CUST000032,Tablet,Android,Samsung,0.18,True,False,False,True,2025-02-28,2025-02-28
DEV00000060,CUST000032,Mobile,Android,Realme,0.22,True,True,False,True,2022-07-02,2022-07-02
DEV00000061,CUST000032,Laptop,Windows,Asus,0.12,False,False,False,True,2020-10-11,2020-10-11
DEV00000062,CUST000033,Tablet,Android,Samsung,0.18,True,False,False,True,2022-12-05,2022-12-05
DEV00000063,CUST000033,Mobile,Android,Samsung,0.15,True,False,False,True,2021-03-20,2021-03-20
DEV00000064,CUST000033,Mobile,Android,Oppo,0.22,True,False,False,True,2024-11-22,2024-11-22
DEV00000065,CUST000034,Mobile,Android,OnePlus,0.15,True,False,False,True,2020-01-07,2020-01-07
DEV00000066,CUST000034,Mobile,Android,Xiaomi,0.2,True,False,False,True,2022-03-18,2022-03-18
DEV00000067,CUST000035,Laptop,Windows,HP,0.12,False,False,False,True,2023-05-15,2023-05-15
DEV00000068,CUST000036,Mobile,Android,Realme,0.22,True,False,False,True,2024-04-01,2024-04-01
DEV00000069,CUST000036,Mobile,Android,Xiaomi,0.2,True,False,False,True,2023-05-17,2023-05-17
DEV00000070,CUST000037,Laptop,Windows,Asus,0.12,False,False,False,True,2025-03-19,2025-03-19
DEV00000071,CUST000037,Tablet,iOS,Apple,0.06,True,False,False,True,2021-11-26,2021-11-26
DEV00000072,CUST000037,Laptop,Windows,Dell,0.1,False,False,False,True,2023-10-04,2023-10-04
DEV00000073,CUST000038,Laptop,macOS,Apple,0.06,False,False,False,True,2020-04-10,2020-04-10
DEV00000074,CUST000038,Mobile,Android,OnePlus,0.15,True,False,False,True,2020-10-25,2020-10-25
DEV00000075,CUST000038,Mobile,Android,Samsung,0.15,True,False,False,True,2024-04-21,2024-04-21
DEV00000076,CUST000039,Mobile,Android,Oppo,0.22,True,False,False,True,2021-12-21,2021-12-21
DEV00000077,CUST000039,Laptop,macOS,Apple,0.06,False,False,False,True,2026-04-02,2026-04-02
DEV00000078,CUST000040,Laptop,Windows,Dell,0.1,False,False,False,True,2026-02-22,2026-02-22
DEV00000079,CUST000040,Laptop,Windows,HP,0.12,False,False,False,True,2025-01-17,2025-01-17
DEV00000080,CUST000041,Laptop,Windows,Asus,0.12,False,False,False,True,2020-11-13,2020-11-13
DEV00000081,CUST000041,Tablet,Android,Samsung,0.18,True,False,False,True,2026-01-21,2026-01-21
DEV00000082,CUST000042,Mobile,Android,Realme,0.22,True,False,False,True,2024-07-27,2024-07-27
DEV00000083,CUST000042,Tablet,Android,Samsung,0.18,True,False,False,False,2024-09-16,2024-09-16
DEV00000084,CUST000043,Laptop,macOS,Apple,0.06,False,False,False,True,2023-12-11,2023-12-11
DEV00000085,CUST000043,Mobile,Android,Xiaomi,0.2,True,False,False,True,2024-09-12,2024-09-12
DEV00000086,CUST000043,Laptop,macOS,Apple,0.06,False,False,False,True,2022-06-22,2022-06-22
DEV00000087,CUST000043,Mobile,Android,Vivo,0.22,True,False,False,True,2024-05-11,2024-05-11
DEV00000088,CUST000044,Mobile,Android,Samsung,0.15,True,False,False,True,2024-06-01,2024-06-01
DEV00000089,CUST000044,Mobile,iOS,Apple,0.05,True,False,False,True,2024-10-21,2024-10-21
DEV00000090,CUST000044,Mobile,Android,Realme,0.22,True,False,False,True,2024-04-01,2024-04-01
DEV00000091,CUST000045,Mobile,Android,Xiaomi,0.2,True,False,False,True,2020-12-01,2020-12-01
DEV00000092,CUST000045,Laptop,Windows,Asus,0.12,False,False,False,False,2023-12-04,2023-12-04
DEV00000093,CUST000046,Laptop,Windows,HP,0.12,False,False,False,True,2020-03-24,2020-03-24
DEV00000094,CUST000046,Tablet,Android,Samsung,0.18,True,False,False,True,2021-04-13,2021-04-13
DEV00000095,CUST000047,Tablet,iOS,Apple,0.06,True,False,False,True,2021-11-01,2021-11-01
DEV00000096,CUST000048,Laptop,Windows,HP,0.12,False,False,False,True,2020-11-07,2020-11-07
DEV00000097,CUST000049,Laptop,Windows,Asus,0.12,False,False,False,True,2023-11-23,2023-11-23
DEV00000098,CUST000049,Tablet,Android,Samsung,0.18,True,True,False,True,2023-10-29,2023-10-29
DEV00000099,CUST000050,Mobile,Android,Realme,0.22,True,False,False,False,2021-09-18,2021-09-18
DEV00000100,CUST000050,Tablet,Android,Samsung,0.18,True,False,False,True,2023-01-11,2023-01-11
DEV00000101,CUST000051,Laptop,macOS,Apple,0.06,False,False,False,True,2023-08-13,2023-08-13
DEV00000102,CUST000051,Laptop,Windows,HP,0.12,False,False,False,True,2025-01-20,2025-01-20
DEV00000103,CUST000052,Mobile,Android,Samsung,0.15,True,False,False,True,2023-08-24,2023-08-24
DEV00000104,CUST000052,Tablet,Android,Samsung,0.18,True,False,False,True,2023-10-26,2023-10-26
DEV00000105,CUST000052,Laptop,Windows,Asus,0.12,False,True,False,True,2026-03-26,2026-03-26
DEV00000106,CUST000053,Mobile,Android,OnePlus,0.15,True,False,False,True,2025-05-04,2025-05-04
DEV00000107,CUST000053,Mobile,Android,OnePlus,0.15,True,False,False,True,2021-01-16,2021-01-16
DEV00000108,CUST000053,Laptop,Windows,Dell,0.1,False,False,False,True,2024-02-20,2024-02-20
DEV00000109,CUST000054,Laptop,Windows,HP,0.12,False,False,False,True,2023-01-14,2023-01-14
DEV00000110,CUST000054,Laptop,macOS,Apple,0.06,False,False,False,True,2023-07-16,2023-07-16
DEV00000111,CUST000054,Mobile,Android,Realme,0.22,True,False,False,True,2022-01-28,2022-01-28
DEV00000112,CUST000054,Tablet,Android,Lenovo,0.18,True,False,False,True,2025-11-18,2025-11-18
DEV00000113,CUST000054,Laptop,Windows,HP,0.12,False,False,False,True,2023-04-28,2023-04-28
DEV00000114,CUST000055,Mobile,Android,Realme,0.22,True,False,False,True,2026-03-16,2026-03-16
DEV00000115,CUST000055,Mobile,Android,Samsung,0.15,True,False,False,True,2025-07-03,2025-07-03
DEV00000116,CUST000055,Laptop,macOS,Apple,0.06,False,False,False,True,2025-05-14,2025-05-14
DEV00000117,CUST000056,Mobile,Android,OnePlus,0.15,True,False,False,True,2025-07-07,2025-07-07
DEV00000118,CUST000057,Laptop,Windows,Dell,0.1,False,False,False,True,2021-04-30,2021-04-30
DEV00000119,CUST000057,Mobile,Android,OnePlus,0.15,True,False,False,True,2022-07-13,2022-07-13
DEV00000120,CUST000057,Tablet,iOS,Apple,0.06,True,False,False,True,2023-05-02,2023-05-02
DEV00000121,CUST000058,Tablet,iOS,Apple,0.06,True,False,False,True,2022-12-19,2022-12-19
DEV00000122,CUST000058,Mobile,Android,Oppo,0.22,True,False,False,True,2020-11-03,2020-11-03
DEV00000123,CUST000059,Mobile,Android,Realme,0.22,True,False,False,True,2023-03-26,2023-03-26
DEV00000124,CUST000059,Tablet,Android,Samsung,0.18,True,False,False,True,2022-08-14,2022-08-14
DEV00000125,CUST000059,Laptop,Windows,Lenovo,0.1,False,False,False,True,2022-03-21,2022-03-21
DEV00000126,CUST000060,Mobile,Android,Vivo,0.22,True,False,False,True,2021-11-10,2021-11-10
DEV00000127,CUST000061,Mobile,iOS,Apple,0.05,True,False,False,True,2023-05-30,2023-05-30
DEV00000128,CUST000061,Laptop,Windows,Asus,0.12,False,False,False,True,2025-07-15,2025-07-15
DEV00000129,CUST000061,Tablet,iOS,Apple,0.06,True,False,False,True,2023-08-13,2023-08-13
DEV00000130,CUST000062,Tablet,iOS,Apple,0.06,True,False,False,True,2021-12-18,2021-12-18
DEV00000131,CUST000062,Mobile,Android,Vivo,0.22,True,False,False,True,2022-01-13,2022-01-13
DEV00000132,CUST000062,Mobile,Android,Vivo,0.22,True,False,False,True,2021-01-08,2021-01-08
DEV00000133,CUST000062,Mobile,Android,Samsung,0.15,True,False,False,True,2021-03-04,2021-03-04
DEV00000134,CUST000062,Laptop,Windows,Dell,0.1,False,False,False,True,2023-03-26,2023-03-26
DEV00000135,CUST000063,Mobile,Android,Vivo,0.22,True,False,False,True,2022-10-30,2022-10-30
DEV00000136,CUST000063,Tablet,Android,Samsung,0.18,True,False,True,True,2025-10-08,2025-10-08
DEV00000137,CUST000063,Tablet,Android,Lenovo,0.18,True,False,False,True,2025-03-07,2025-03-07
DEV00000138,CUST000064,Laptop,Windows,Lenovo,0.1,False,False,False,True,2022-12-29,2022-12-29
DEV00000139,CUST000065,Mobile,Android,Oppo,0.22,True,False,False,True,2021-10-10,2021-10-10
DEV00000140,CUST000065,Laptop,macOS,Apple,0.06,False,False,False,True,2022-07-09,2022-07-09
DEV00000141,CUST000066,Laptop,macOS,Apple,0.06,False,False,False,True,2025-09-15,2025-09-15
DEV00000142,CUST000066,Mobile,Android,Realme,0.22,True,False,False,True,2025-04-18,2025-04-18
DEV00000143,CUST000067,Mobile,Android,Xiaomi,0.2,True,False,False,True,2023-10-24,2023-10-24
DEV00000144,CUST000067,Tablet,Android,Lenovo,0.18,True,False,False,True,2023-03-04,2023-03-04
DEV00000145,CUST000068,Tablet,iOS,Apple,0.06,True,False,False,True,2023-11-14,2023-11-14
DEV00000146,CUST000068,Mobile,Android,Oppo,0.22,True,False,False,True,2023-08-11,2023-08-11
DEV00000147,CUST000069,Mobile,Android,Oppo,0.22,True,False,False,True,2023-07-27,2023-07-27
DEV00000148,CUST000070,Laptop,Windows,Dell,0.1,False,False,False,True,2021-06-01,2021-06-01
DEV00000149,CUST000071,Laptop,Windows,HP,0.12,False,False,False,True,2020-03-03,2020-03-03
DEV00000150,CUST000071,Mobile,Android,Realme,0.22,True,False,False,True,2021-09-24,2021-09-24
DEV00000151,CUST000072,Mobile,Android,OnePlus,0.15,True,False,False,True,2023-07-21,2023-07-21
DEV00000152,CUST000072,Mobile,Android,Samsung,0.15,True,False,False,True,2026-01-25,2026-01-25
DEV00000153,CUST000073,Laptop,Windows,HP,0.12,False,False,False,True,2024-11-12,2024-11-12
DEV00000154,CUST000073,Laptop,Windows,Dell,0.1,False,False,False,True,2021-02-15,2021-02-15
DEV00000155,CUST000074,Laptop,Windows,Lenovo,0.1,False,False,False,True,2024-01-08,2024-01-08
DEV00000156,CUST000074,Tablet,Android,Samsung,0.18,True,False,False,True,2026-05-07,2026-05-07
DEV00000157,CUST000074,Mobile,Android,Vivo,0.22,True,False,False,True,2024-04-15,2024-04-15
DEV00000158,CUST000075,Laptop,Windows,Lenovo,0.1,False,False,True,True,2025-02-25,2025-02-25
DEV00000159,CUST000076,Tablet,Android,Samsung,0.18,True,False,False,False,2023-11-16,2023-11-16
DEV00000160,CUST000076,Mobile,Android,Vivo,0.22,True,False,False,False,2022-10-21,2022-10-21
DEV00000161,CUST000077,Mobile,Android,Samsung,0.15,True,False,False,True,2026-05-31,2026-05-31
DEV00000162,CUST000077,Mobile,Android,Realme,0.22,True,False,False,True,2020-03-30,2020-03-30
DEV00000163,CUST000078,Mobile,Android,Oppo,0.22,True,False,False,True,2023-12-14,2023-12-14
DEV00000164,CUST000079,Mobile,Android,Vivo,0.22,True,False,False,True,2023-06-19,2023-06-19
DEV00000165,CUST000079,Laptop,Windows,Dell,0.1,False,False,False,True,2021-06-22,2021-06-22
DEV00000166,CUST000080,Laptop,Windows,Dell,0.1,False,False,False,True,2025-12-14,2025-12-14
DEV00000167,CUST000080,Laptop,macOS,Apple,0.06,False,False,False,True,2025-05-27,2025-05-27
DEV00000168,CUST000081,Laptop,Windows,HP,0.12,False,False,False,False,2022-07-13,2022-07-13
DEV00000169,CUST000082,Laptop,macOS,Apple,0.06,False,False,False,True,2022-12-19,2022-12-19
DEV00000170,CUST000082,Laptop,Windows,HP,0.12,False,False,False,False,2022-12-09,2022-12-09
DEV00000171,CUST000082,Tablet,Android,Lenovo,0.18,True,False,False,True,2021-03-19,2021-03-19
DEV00000172,CUST000082,Laptop,macOS,Apple,0.06,False,False,False,True,2026-04-18,2026-04-18
DEV00000173,CUST000083,Mobile,Android,OnePlus,0.15,True,False,False,True,2021-04-22,2021-04-22
DEV00000174,CUST000083,Mobile,Android,OnePlus,0.15,True,False,False,True,2025-07-10,2025-07-10
DEV00000175,CUST000084,Mobile,Android,Realme,0.22,True,False,False,True,2021-09-24,2021-09-24
DEV00000176,CUST000084,Tablet,Android,Samsung,0.18,True,False,False,True,2024-07-29,2024-07-29
DEV00000177,CUST000085,Laptop,Windows,HP,0.12,False,False,False,True,2024-01-25,2024-01-25
DEV00000178,CUST000086,Mobile,Android,Samsung,0.15,True,False,False,True,2022-02-16,2022-02-16
DEV00000179,CUST000086,Laptop,macOS,Apple,0.06,False,False,False,True,2021-01-10,2021-01-10
DEV00000180,CUST000087,Laptop,Windows,HP,0.12,False,False,False,True,2021-05-30,2021-05-30
DEV00000181,CUST000088,Laptop,Windows,HP,0.12,False,False,False,True,2021-08-27,2021-08-27
DEV00000182,CUST000088,Laptop,Windows,Dell,0.1,False,False,False,True,2021-08-15,2021-08-15
DEV00000183,CUST000089,Mobile,Android,Vivo,0.22,True,False,False,True,2024-01-07,2024-01-07
DEV00000184,CUST000090,Laptop,Windows,Asus,0.12,False,False,False,True,2024-09-20,2024-09-20
DEV00000185,CUST000091,Mobile,Android,OnePlus,0.15,True,False,False,True,2020-06-26,2020-06-26
DEV00000186,CUST000092,Laptop,Windows,Dell,0.1,False,False,False,True,2020-09-06,2020-09-06
DEV00000187,CUST000093,Mobile,Android,Samsung,0.15,True,False,False,True,2020-10-28,2020-10-28
DEV00000188,CUST000093,Laptop,Windows,Asus,0.12,False,False,False,True,2021-05-31,2021-05-31
DEV00000189,CUST000094,Mobile,Android,Samsung,0.15,True,False,False,True,2025-02-01,2025-02-01
DEV00000190,CUST000094,Tablet,Android,Samsung,0.18,True,False,False,True,2021-04-13,2021-04-13
DEV00000191,CUST000094,Laptop,Windows,Lenovo,0.1,False,False,False,True,2022-05-30,2022-05-30
DEV00000192,CUST000095,Mobile,Android,Samsung,0.15,True,False,False,True,2023-07-04,2023-07-04
DEV00000193,CUST000096,Mobile,Android,Realme,0.22,True,False,False,True,2020-12-15,2020-12-15
DEV00000194,CUST000097,Tablet,Android,Lenovo,0.18,True,False,False,False,2021-05-15,2021-05-15
DEV00000195,CUST000097,Mobile,Android,Samsung,0.15,True,False,False,False,2024-09-28,2024-09-28
DEV00000196,CUST000098,Laptop,Windows,HP,0.12,False,False,False,True,2021-09-25,2021-09-25
DEV00000197,CUST000098,Mobile,Android,Realme,0.22,True,False,False,True,2026-03-28,2026-03-28
DEV00000198,CUST000098,Tablet,iOS,Apple,0.06,True,False,False,True,2024-10-23,2024-10-23
DEV00000199,CUST000099,Mobile,Android,Vivo,0.22,True,False,False,True,2023-01-24,2023-01-24
DEV00000200,CUST000100,Tablet,Android,Lenovo,0.18,True,False,False,True,2020-10-12,2020-10-12
DEV00000201,CUST000100,Mobile,Android,Realme,0.22,True,False,False,True,2025-12-12,2025-12-12
DEV00000202,CUST000101,Mobile,Android,Xiaomi,0.2,True,False,False,True,2026-05-13,2026-05-13
DEV00000203,CUST000101,Mobile,iOS,Apple,0.05,True,False,False,True,2020-07-22,2020-07-22
DEV00000204,CUST000101,Mobile,Android,Samsung,0.15,True,False,False,True,2025-06-12,2025-06-12
DEV00000205,CUST000102,Mobile,Android,Oppo,0.22,True,False,False,True,2023-03-06,2023-03-06
DEV00000206,CUST000102,Mobile,Android,Samsung,0.15,True,False,False,True,2023-06-17,2023-06-17
DEV00000207,CUST000102,Tablet,iOS,Apple,0.06,True,False,False,True,2020-02-01,2020-02-01
DEV00000208,CUST000103,Tablet,Android,Lenovo,0.18,True,False,False,True,2020-02-01,2020-02-01
DEV00000209,CUST000103,Laptop,Windows,Asus,0.12,False,False,False,True,2025-12-21,2025-12-21
DEV00000210,CUST000103,Laptop,Windows,Dell,0.1,False,False,False,True,2023-12-21,2023-12-21
DEV00000211,CUST000104,Laptop,Windows,Lenovo,0.1,False,False,False,True,2026-06-16,2026-06-16
DEV00000212,CUST000104,Laptop,macOS,Apple,0.06,False,False,False,True,2023-03-31,2023-03-31
DEV00000213,CUST000104,Laptop,Windows,Asus,0.12,False,False,False,True,2025-02-27,2025-02-27
DEV00000214,CUST000105,Mobile,Android,OnePlus,0.15,True,False,False,True,2025-11-16,2025-11-16
DEV00000215,CUST000105,Laptop,Windows,Lenovo,0.1,False,False,False,True,2022-06-26,2022-06-26
DEV00000216,CUST000106,Laptop,macOS,Apple,0.06,False,False,False,True,2021-08-27,2021-08-27
DEV00000217,CUST000106,Laptop,Windows,Asus,0.12,False,False,False,True,2021-09-18,2021-09-18
DEV00000218,CUST000107,Tablet,Android,Samsung,0.18,True,False,False,True,2026-05-01,2026-05-01
DEV00000219,CUST000107,Laptop,Windows,Asus,0.12,False,False,False,True,2023-07-18,2023-07-18
DEV00000220,CUST000108,Laptop,Windows,Lenovo,0.1,False,False,False,True,2023-12-12,2023-12-12
DEV00000221,CUST000109,Mobile,Android,Xiaomi,0.2,True,False,False,True,2021-01-04,2021-01-04
DEV00000222,CUST000109,Laptop,macOS,Apple,0.06,False,False,False,True,2026-03-20,2026-03-20
DEV00000223,CUST000109,Laptop,Windows,HP,0.12,False,False,False,True,2026-05-30,2026-05-30
DEV00000224,CUST000110,Laptop,Windows,HP,0.12,False,False,False,True,2023-11-07,2023-11-07
DEV00000225,CUST000111,Laptop,Windows,Asus,0.12,False,False,False,True,2024-12-04,2024-12-04
DEV00000226,CUST000111,Mobile,Android,Realme,0.22,True,False,False,True,2023-03-04,2023-03-04
DEV00000227,CUST000112,Tablet,iOS,Apple,0.06,True,False,False,True,2021-01-22,2021-01-22
DEV00000228,CUST000113,Mobile,Android,OnePlus,0.15,True,False,False,True,2023-12-03,2023-12-03
DEV00000229,CUST000114,Laptop,Windows,Dell,0.1,False,False,False,True,2023-09-07,2023-09-07
DEV00000230,CUST000114,Laptop,Windows,Dell,0.1,False,False,False,True,2025-11-26,2025-11-26
DEV00000231,CUST000115,Tablet,Android,Samsung,0.18,True,False,False,True,2022-05-27,2022-05-27
DEV00000232,CUST000116,Mobile,Android,Realme,0.22,True,False,False,True,2021-02-18,2021-02-18
DEV00000233,CUST000116,Tablet,Android,Lenovo,0.18,True,False,False,True,2025-11-26,2025-11-26
DEV00000234,CUST000117,Laptop,Windows,HP,0.12,False,False,False,True,2022-01-10,2022-01-10
DEV00000235,CUST000118,Mobile,Android,Oppo,0.22,True,False,False,True,2024-02-01,2024-02-01
DEV00000236,CUST000118,Mobile,Android,Samsung,0.15,True,False,False,True,2023-03-13,2023-03-13
DEV00000237,CUST000119,Mobile,Android,Vivo,0.22,True,False,False,True,2024-02-15,2024-02-15
DEV00000238,CUST000119,Laptop,Windows,HP,0.12,False,False,False,True,2023-02-28,2023-02-28
DEV00000239,CUST000119,Mobile,iOS,Apple,0.05,True,False,False,True,2021-10-25,2021-10-25
DEV00000240,CUST000120,Tablet,iOS,Apple,0.06,True,False,False,True,2024-02-29,2024-02-29
DEV00000241,CUST000120,Laptop,Windows,Lenovo,0.1,False,False,False,True,2021-05-25,2021-05-25
DEV00000242,CUST000121,Laptop,Windows,Lenovo,0.1,False,False,False,True,2025-01-21,2025-01-21
DEV00000243,CUST000121,Tablet,iOS,Apple,0.06,True,False,False,False,2024-06-11,2024-06-11
DEV00000244,CUST000121,Laptop,macOS,Apple,0.06,False,False,False,True,2024-03-15,2024-03-15
DEV00000245,CUST000122,Mobile,iOS,Apple,0.05,True,False,False,True,2023-03-21,2023-03-21
DEV00000246,CUST000122,Mobile,Android,Oppo,0.22,True,False,True,True,2025-04-05,2025-04-05
DEV00000247,CUST000123,Mobile,Android,Xiaomi,0.2,True,False,False,True,2021-03-31,2021-03-31
DEV00000248,CUST000123,Laptop,Windows,HP,0.12,False,False,False,True,2022-09-03,2022-09-03
DEV00000249,CUST000124,Laptop,macOS,Apple,0.06,False,False,False,True,2025-10-11,2025-10-11
DEV00000250,CUST000124,Mobile,Android,Vivo,0.22,True,False,False,True,2020-01-07,2020-01-07
DEV00000251,CUST000124,Mobile,Android,OnePlus,0.15,True,False,False,False,2020-12-16,2020-12-16
DEV00000252,CUST000125,Tablet,iOS,Apple,0.06,True,False,False,True,2024-05-03,2024-05-03
DEV00000253,CUST000125,Mobile,Android,Vivo,0.22,True,False,False,True,2020-10-03,2020-10-03
DEV00000254,CUST000125,Mobile,Android,Vivo,0.22,True,False,False,True,2023-09-23,2023-09-23
DEV00000255,CUST000125,Tablet,Android,Samsung,0.18,True,False,False,False,2021-12-18,2021-12-18
DEV00000256,CUST000126,Mobile,Android,Oppo,0.22,True,False,False,True,2025-02-17,2025-02-17
DEV00000257,CUST000126,Mobile,Android,OnePlus,0.15,True,False,False,True,2020-06-20,2020-06-20
DEV00000258,CUST000127,Mobile,Android,Xiaomi,0.2,True,False,False,True,2023-03-17,2023-03-17
DEV00000259,CUST000128,Laptop,Windows,Lenovo,0.1,False,False,False,True,2024-11-24,2024-11-24
DEV00000260,CUST000128,Mobile,Android,Xiaomi,0.2,True,False,False,True,2024-05-02,2024-05-02
DEV00000261,CUST000128,Tablet,iOS,Apple,0.06,True,False,False,True,2024-02-13,2024-02-13
DEV00000262,CUST000129,Mobile,Android,Xiaomi,0.2,True,False,False,True,2026-02-12,2026-02-12
DEV00000263,CUST000129,Laptop,Windows,HP,0.12,False,False,False,True,2023-04-25,2023-04-25
DEV00000264,CUST000130,Laptop,Windows,Asus,0.12,False,False,False,True,2023-12-15,2023-12-15
DEV00000265,CUST000131,Mobile,Android,Oppo,0.22,True,False,False,True,2024-01-28,2024-01-28
